,listing_Location,Listing_Name,Features,Price,Rating_Review
17,Entire townhouse in Koloa,Sleeps 10! Walk to beach- AC Units- Pool- Hot Tub,11 guests · 3 bedrooms · 5 beds · 2.5 baths,$773 CAD per night,4.84 (51 reviews)
18,Entire condo in Kapaa,"BIG Ocean View, pool,Full Kitchen, King, WiFi, 203",4 guests · 2 bedrooms · 2 beds · 1 bath,$493 CAD per night,4.87 (149 reviews)
19,Entire home in Captain Cook,Makai Hideaway,8 guests · 3 bedrooms · 8 beds · 3 baths,$452 CAD per night,4.86 (166 reviews)
20,Entire villa in Honolulu,Popular Promenade Waikiki- Diamond Head.,6 guests · 2 bedrooms · 3 beds · 2 baths,$475 CAD per night,4.86 (57 reviews)
21,Entire condo in Waikoloa Village,Beautifully Remodeled 2 BR 2 BA & Stunning Views,4 guests · 2 bedrooms · 2 beds · 2 baths,$304 CAD per night,5.0 (20 reviews)
22,Entire condo in Kailua-Kona,Lovely Remodeled 3rd Floor Ocean Front Condo #312,5 guests · 2 bedrooms · 3 beds · 2 baths,$566 CAD per night,4.96 (52 reviews)
23,Entire townhouse in Kamuela,Mauna Lani Fairways Resort Townhouse w/ BeachClub,6 guests · 2 bedrooms · 3 beds · 2 baths,$601 CAD per night,4.95 (237 reviews)
24,Entire condo in Kihei,Bright & Spacious Two Bedroom Maui Condo,5 guests · 2 bedrooms · 3 beds · 2 baths,$355 CAD per night,4.86 (37 reviews)
25,Entire villa in Pāhoa,Lava Flow House Pool Ocean View Kehena Beach w A/C,9 guests · 2 bedrooms · 4 beds · 2 baths,"$1,254 CAD per night, originally $1,355",5.0 (33 reviews)
26,Entire condo in Wailuku,Spacious BEACHFRONT Maui Condo,6 guests · 2 bedrooms · 3 beds · 2 baths,",&nbsp;",4.90 (29 reviews)
27,Entire rental unit in Kihei,3 minutes walk to the beach 2BR/2BA Top floor,4 guests · 2 bedrooms · 3 beds · 2 baths,$496 CAD per night,4.85 (171 reviews)
28,Entire home in Pāhoa,"Hale Maluhia 3br, Optional car rental available",7 guests · 3 bedrooms · 4 beds · 2 baths,",&nbsp;",4.61 (134 reviews)
29,Entire cottage in Kailua-Kona,3 bedrm Ohana-3 miles to town/beach Book  Summer,5 guests · 3 bedrooms · 3 beds · 1 bath,$299 CAD per night,5.0 (9 reviews)
30,Entire home in Ocean View,"Heaven in Ocean View, Hawaii",4 guests · 2 bedrooms · 2 beds · 1 bath,$160 CAD per night,4.92 (148 reviews)
31,Entire condo in Honolulu,"Waikiki Banyan & Luxury( Free wifi & parking, 1Br)",4 guests · 1 bedroom · 3 beds · 1 bath,",&nbsp;",4.91 (47 reviews)
32,Entire condo in Kailua-Kona,Sunset views and sound of the ocean!!,4 guests · 2 bedrooms · 2 beds · 2 baths,$576 CAD per night,5.0 (34 reviews)
33,Entire home in Kailua-Kona,PrIvate pool home in gated community with AC.,8 guests · 3 bedrooms · 3 beds · 2.5 baths,"$944 CAD per night, originally $1,019",5.0 (7 reviews)
34,Entire guest suite in Holualoa,Family-Friendly Estate Guest Suite-Pool & Patio!,4 guests · 2 bedrooms · 4 beds · 2 baths,$419 CAD per night,4.95 (152 reviews)
35,Entire rental unit in Kailua-Kona,"Sunny, Large Lanai with shared pool Walk to Beach",5 guests · 2 bedrooms · 4 beds · 1 bath,$291 CAD per night,4.33 (30 reviews)
36,Entire rental unit in Princeville,Pali Ke Kua Oceanview.  Relax. Restore. Revive!,4 guests · 2 bedrooms · 3 beds · 2 baths,$665 CAD per night,4.95 (136 reviews)
37,Entire cottage in Kapaa,OCEANFRONT Rhythm -2 Bd/1 bth Beachfront TVNC 4288,4 guests · 2 bedrooms · 2 beds · 1 bath,$764 CAD per night,4.91 (105 reviews)
38,Entire condo in Kailua-Kona,Oceanview on Golf Course 3 Pools Air,6 guests · 3 bedrooms · 5 beds · 3 baths,$429 CAD per night,4.86 (14 reviews)
39,Entire townhouse in Waimea,❤️PiH❤️Island Hideaway★Enjoy Bikes & Surrey★,6 guests · 2 bedrooms · 3 beds · 2.5 baths,$540 CAD per night,4.65 (17 reviews)
40,Entire condo in Kihei,Maui Kamaole K206. Come Home to Paradise.,6 guests · 2 bedrooms · 2 beds · 2 baths,"$480 CAD per night, originally $518",4.96 (46 reviews)
41,Entire home in Pāhoa,"Tropical Big Island Getaway, Pahoa Hawaii, Hilo",4 guests · 2 bedrooms · 2 beds · 2 baths,$174 CAD per night,4.84 (46 reviews)
42,Entire condo in Kihei,Upscale Pool View 2 level Condo,4 guests · 2 bedrooms · 2 beds · 2 baths,"$368 CAD per night, originally $401",4.88 (35 reviews)
43,Entire home in Kailua-Kona,Halia Hale,6 guests · 3 bedrooms · 3 beds · 2 baths,$749 CAD per night,4.96 (104 reviews)
44,Entire condo in Kailua-Kona,Kona Coffee Villas B216 Lovely cooler elevation condo with ocean views.,4 guests · 2 bedrooms · 2 beds · 2 baths,$243 CAD per night,5.0 (5 reviews)
45,Entire home in Haiku-Pauwela,Hookipa Farm: County Legal 3 Bedroom Home in Haiku,6 guests · 3 bedrooms · 4 beds · 2.5 baths,$972 CAD per night,5.0 (27 reviews)
46,Entire condo in Honolulu,"10th Fl Beachfront Condo | Free parking, gym, pool",6 guests · 2 bedrooms · 3 beds · 2 baths,"$1,163 CAD per night",4.95 (19 reviews)
47,Entire condo in Lahaina,"2BR2BA+Lanai: views,AC,hot tub,pool,steps to beach",6 guests · 2 bedrooms · 3 beds · 2 baths,$788 CAD per night,4.92 (53 reviews)
48,Entire condo in Kailua-Kona,Wonderful Oceanfront Newly Renovated Apartment! - Casa de Emdecko 138,6 guests · 2 bedrooms · 3 beds · 2 baths,$603 CAD per night,4.93 (14 reviews)
49,Entire vacation home in Lihue,Amazing Views from this Oceanfront Home,4 guests · 2 bedrooms · 2 beds · 2 baths,"$569 CAD per night, originally $614",empty
50,Entire home in Hilo,Aloha Falls Sanctuary. Peaceful Waterfall Paradise,6 guests · 2 bedrooms · 2 beds · 2 baths,$602 CAD per night,4.90 (85 reviews)
51,Entire condo in Kailua-Kona,New Listing! Wonderful direct 2 bedroom/ 2 bath oceanfront condo with sweeping views of Kailua Bay and lots of ocean activity. Beautifully updated unit with everything you need for a great Hawaiian getaway. ,4 guests · 2 bedrooms · 2 beds · 2 baths,$429 CAD per night,5.0 (4 reviews)
52,Entire villa in Kapolei,Ko'Olina Resort-Private Vacation Villa,7 guests · 2 bedrooms · 3 beds · 2.5 baths,$746 CAD per night,4.93 (29 reviews)
53,Entire condo in Princeville,"Premier, Upstairs View 3BR/3BA Plantation Condo",6 guests · 3 bedrooms · 3 beds · 3 baths,$627 CAD per night,4.97 (33 reviews)
54,Entire home in Haleiwa,Beachfront House  at Pipeline sleep 6,6 guests · 2 bedrooms · 3 beds · 1 bath,",&nbsp;",5.0 (14 reviews)
55,Entire home in Naalehu,Lewa Lani Private Pool,6 guests · 3 bedrooms · 3 beds · 2 baths,$485 CAD per night,5.0 (35 reviews)
56,Entire home in Honokaa,"Waiulililani at Waipio Valley, TA # 124-836-6592-01",6 guests · 3 bedrooms · 3 beds · 3 baths,"$439 CAD per night, originally $502",4.83 (92 reviews)
57,Entire guest suite in Honolulu,Honolulu Hale with free parking,6 guests · 2 bedrooms · 2 beds · 1 bath,$381 CAD per night,4.83 (124 reviews)
58,Entire condo in Kailua-Kona,Townhouse steps away from ocean and pool,6 guests · 2 bedrooms · 3 beds · 2 baths,$413 CAD per night,4.95 (22 reviews)
59,Entire townhouse in Waikoloa,Hali’i Kai #17G - The Premier Waikoloa Stay,6 guests · 3 bedrooms · 3 beds · 3 baths,$763 CAD per night,4.90 (31 reviews)
60,Entire condo in Kahuku,Hale He'e' Nalu (Surf House) in Turtle Bay!,6 guests · 2 bedrooms · 3 beds · 2 baths,$726 CAD per night,4.73 (203 reviews)
61,Entire rental unit in Kailua-Kona,"☀ Modern, Tropical and Oceanside + AC & Free Pk ☀",4 guests · 1 bedroom · 2 beds · 1 bath,",&nbsp;",4.85 (361 reviews)
62,Entire condo in Kihei,Beautiful 2BR Condo with view at Maui Vista Resort,4 guests · 2 bedrooms · 2 beds · 2 baths,",&nbsp;",4.88 (219 reviews)
63,Entire home in Princeville,"AC, Hot Tub & Plunge Pool! Steps to Queen's Bath!",16 guests · 4 bedrooms · 9 beds · 2.5 baths,"$959 CAD per night, originally $1,211",4.75 (97 reviews)
64,Entire guest suite in Haleiwa,Rocky Point Studio,4 guests · Studio · 4 beds · 1 bath,$575 CAD per night,4.88 (357 reviews)
65,Entire rental unit in Honolulu,Waikiki Penthouse Panorama Ocean/Moutain Views,8 guests · 2 bedrooms · 6 beds · 2 baths,$948 CAD per night,4.62 (154 reviews)
66,Entire rental unit in Kihei,Best condo in Kihei - great value!,4 guests · 1 bedroom · 2 beds · 1 bath,$334 CAD per night,4.73 (283 reviews)
67,Entire townhouse in Lahaina,Say Aloha to a Luxurious Family Getaway,6 guests · 2 bedrooms · 2 beds · 2 baths,"$1,078 CAD per night",4.88 (89 reviews)
68,Entire home in Paia,Gingerbread  House-Paia/North Shore Beaches,4 guests · 1 bedroom · 2 beds · 1 bath,$480 CAD per night,4.70 (244 reviews)
69,Entire guesthouse in Volcano,The Ohana at Volcanoes National Park!,6 guests · 1 bedroom · 3 beds · 1 bath,",&nbsp;",4.93 (819 reviews)
70,Entire home in Kailua-Kona,Watch Rain Fall Inside Your Home Into The Indoor Water Feature. Amazing Entry Across An Indoor Pond. Expansive Unfettered Ocean Views,8 guests · 4 bedrooms · 5 beds · 3.5 baths,"$3,299 CAD per night",4.73 (88 reviews)
71,Entire home in Captain Cook,Pineapple Palace~Kona Coast~Pool~ Ocean Views,12 guests · 4 bedrooms · 7 beds · 3 baths,"$1,217 CAD per night",4.88 (101 reviews)
72,Entire home in Wailuku,Charming Direct Oceanfront North Shore Beach House,8 guests · 4 bedrooms · 6 beds · 3 baths,"$1,803 CAD per night",4.62 (149 reviews)
73,Entire condo in Kihei,Across from the Beach in S. Kihei!,6 guests · 2 bedrooms · 3 beds · 2 baths,$673 CAD per night,4.70 (219 reviews)
74,Entire condo in Kihei,Entire Seaside 2 bedroom 2 bath 10 steps to beach,6 guests · 2 bedrooms · 3 beds · 2 baths,$592 CAD per night,4.61 (192 reviews)
75,Entire home in Kihei,8-403 Kamaole Sands**Newly Remodeled** Steps to Kamaole 3 Beach!,8 guests · 2 bedrooms · 4 beds · 2 baths,"$1,299 CAD per night",4.78 (116 reviews)
76,Entire home in Honolulu,"STYLISH VILLA ! GREAT LOCATION ,CLEAN AND PRIVATE",16 guests · 5 bedrooms · 8 beds · 3 baths,"$1,426 CAD per night",4.75 (45 reviews)
77,Entire cottage in Waialua,Cozy guest cottage at North Shore,4 guests · 1 bedroom · 2 beds · 1 bath,$356 CAD per night,4.61 (184 reviews)
78,Entire condo in Princeville,"Airy Apt w/AC: Walk to Beach, 10 mins to Surf/Hike",4 guests · Studio · 2 beds · 1 bath,",&nbsp;",4.84 (129 reviews)
79,Entire home in Holualoa,"Holualoa Elua (clean, comfortable, Taxes included)",4 guests · 1 bedroom · 3 beds · 1 bath,$289 CAD per night,4.92 (341 reviews)
80,Entire townhouse in Waikoloa,Hali’i Kai #17G - The Premier Waikoloa Stay,6 guests · 3 bedrooms · 3 beds · 3 baths,$763 CAD per night,4.90 (31 reviews)
81,Entire condo in Kihei,Island Surf 311  Oceanview!! Steps from the Ocean. Air Purifier! Sanitized Cleaning! Watch the morning Surfers!,6 guests · 2 bedrooms · 3 beds · 2 baths,$526 CAD per night,4.76 (37 reviews)
82,Entire condo in Kailua-Kona,Na Hale O Keauhou H5 is a spacious 2-bedroom & 2-1/2 bath townhome,5 guests · 2 bedrooms · 4 beds · 2 baths,$471 CAD per night,4.89 (9 reviews)
83,Entire cottage in Kailua-Kona,Foster's Ohia Hale,5 guests · 2 bedrooms · 4 beds · 1 bath,$324 CAD per night,4.95 (97 reviews)
84,Entire home in Kailua-Kona,Oceanview Old Hawaiian Ranch House,6 guests · 3 bedrooms · 4 beds · 2.5 baths,$741 CAD per night,5.0 (37 reviews)
85,Entire condo in Kihei,Oceanfront Luxury at a Discount!,6 guests · 2 bedrooms · 4 beds · 2 baths,$526 CAD per night,4.76 (30 reviews)
86,Entire home in Honolulu,NEW▶Mountain RV-NO.7▶Open Free parking!,6 guests · 1 bedroom · 2 beds · 1 bath,",&nbsp;",4.91 (23 reviews)
87,Entire condo in Kailua-Kona,Oceanview on Golf Course 3 Pools Air,6 guests · 3 bedrooms · 5 beds · 3 baths,$429 CAD per night,4.86 (14 reviews)
88,Entire guest suite in Kailua-Kona,Unique Relaxation Experience Kona2BR Leisure Suite,4 guests · 2 bedrooms · 2 beds · 1 bath,$328 CAD per night,5.0 (54 reviews)
89,Entire condo in Princeville,🏝Beautiful TROPICAL Getaway - POOL - BBQ & More,6 guests · 3 bedrooms · 4 beds · 2 baths,$663 CAD per night,4.80 (69 reviews)
90,Entire condo in Princeville,"Premier, Upstairs View 3BR/3BA Plantation Condo",6 guests · 3 bedrooms · 3 beds · 3 baths,$627 CAD per night,4.97 (33 reviews)
91,Entire home in Naalehu,"Pool, Hot Tub, Japenese Pagoda & Gardens, Ocean Views",6 guests · 3 bedrooms · 3 beds · 2 baths,$405 CAD per night,4.84 (31 reviews)
92,Entire home in Volcano,A/C All Rms/WorkStation&Dishwasher AlohaHaleNohea2,6 guests · 3 bedrooms · 3 beds · 2 baths,$429 CAD per night,4.97 (172 reviews)
93,Entire condo in Honolulu,2 Bedroom Condo With Parking,4 guests · 2 bedrooms · 2 beds · 1 bath,$397 CAD per night,4.80 (202 reviews)
94,Entire condo in Kihei,"NEWLY REMODELED!! 2 bedroom 2 bath condo, Maui, HI",6 guests · 2 bedrooms · 3 beds · 2 baths,$361 CAD per night,4.85 (79 reviews)
95,Entire guest suite in Honolulu,Honolulu Hale with free parking,6 guests · 2 bedrooms · 2 beds · 1 bath,$381 CAD per night,4.83 (124 reviews)
96,Entire villa in Kailua-Kona,"Ahhh....Paradise  OCEAN VIEWS, Snorkle, Surf,Bikes",5 guests · 2 bedrooms · 3 beds · 2 baths,$523 CAD per night,4.90 (21 reviews)
97,Entire rental unit in Kihei,Beautiful Oceanfront Condo,6 guests · 2 bedrooms · 2 beds · 2 baths,$431 CAD per night,4.77 (158 reviews)
98,Entire rental unit in Laie,"Hale MOANA - 2bd, 2ba w/AC - Laie - 30 days",9 guests · 2 bedrooms · 8 beds · 2 baths,$450 CAD per night,4.95 (153 reviews)
99,Entire condo in Kailua-Kona,"KONA MAKAI OCEANFRONT SNORKEL,TENNIS, GYM, POOL",5 guests · 2 bedrooms · 3 beds · 1 bath,$368 CAD per night,4.50 (129 reviews)
100,Entire condo in Lahaina,Old Hawaii Oceanfront Feel + Modern Eco + Hi-tech,6 guests · 2 bedrooms · 3 beds · 1.5 baths,$706 CAD per night,4.88 (32 reviews)
101,Entire condo in Princeville,🏝Beautiful TROPICAL Getaway - POOL - BBQ & More,6 guests · 3 bedrooms · 4 beds · 2 baths,$663 CAD per night,4.80 (69 reviews)
102,Entire home in Kailua-Kona,Magic Sands Beach House,5 guests · 2 bedrooms · 2 beds · 2 baths,"$596 CAD per night, originally $643",5.0 (68 reviews)
103,Entire condo in Kailua Kona,"Turtle House, Kanaloa at Kona, 2 Bed Ocean View",5 guests · 2 bedrooms · 4 beds · 2 baths,$509 CAD per night,4.95 (44 reviews)
104,Entire guesthouse in Haiku-Pauwela,HawaiianDreamTemple-2BRTropical Oasis BBPH20120004,6 guests · 2 bedrooms · 3 beds · 1 bath,$808 CAD per night,4.79 (104 reviews)
105,Entire rental unit in Honolulu,0.5 block to Waikiki beach/washer/dryer/parking,6 guests · 2 bedrooms · 3 beds · 2 baths,$865 CAD per night,4.91 (141 reviews)
106,Entire rental unit in Kailua-Kona,Kona Oasis across from Ocean!!,4 guests · 2 bedrooms · 2 beds · 2 baths,$386 CAD per night,4.81 (151 reviews)
107,Entire condo in Waimea,"HEAVENLY! Mauna Lani GolfVillas, Bch Club+Golf pkg",7 guests · 3 bedrooms · 3 beds · 3 baths,$982 CAD per night,4.93 (15 reviews)
108,Entire villa in Kailua-Kona,"Ahhh....Paradise  OCEAN VIEWS, Snorkle, Surf,Bikes",5 guests · 2 bedrooms · 3 beds · 2 baths,$523 CAD per night,4.90 (21 reviews)
109,Entire condo in Kailua-Kona,2 bed/2 bath Kona White Sands,6 guests · 2 bedrooms · 4 beds · 2 baths,$383 CAD per night,4.93 (74 reviews)
110,Entire condo in Kihei,BEAUTIFUL 1 BED/2 BATH AT MAUI KAMAOLE,4 guests · 1 bedroom · 2 beds · 2 baths,$380 CAD per night,empty
111,Entire guest suite in Kailua-Kona,Welcome to your Hawaiian Getaway,4 guests · 2 bedrooms · 2 beds · 1 bath,$385 CAD per night,4.93 (14 reviews)
112,Entire condo in Wailuku,"Maui Condo at Ocean,  Window AC, WiFi sleeps 6",6 guests · 2 bedrooms · 3 beds · 2 baths,$403 CAD per night,4.84 (80 reviews)
113,Entire rental unit in Kihei,Beautiful Oceanfront Condo,6 guests · 2 bedrooms · 2 beds · 2 baths,$431 CAD per night,4.77 (158 reviews)
114,Entire home in Waimea,New Centrally Located Waimea Home on Big Island,5 guests · 2 bedrooms · 3 beds · 1 bath,",&nbsp;",4.99 (67 reviews)
115,Entire guest suite in Waimanalo,"All Inclusive that has it all, Sleeps 8, Hot Tub",8 guests · 2 bedrooms · 3 beds · 1 bath,$455 CAD per night,4.89 (28 reviews)
116,Entire home in Pāhoa,New Custom Home Ocean View Walk to Kehena Beach,6 guests · 2 bedrooms · 2 beds · 1.5 baths,$339 CAD per night,4.91 (35 reviews)
117,Entire condo in Keauhou,Luxurious 3 BR / 2 BA Direct Oceanfront condo,6 guests · 3 bedrooms · 4 beds · 2 baths,$542 CAD per night,5.0 (4 reviews)
118,Entire serviced apartment in Lahaina,Aston Kanapali-HAWAII Beach,4 guests · 2 bedrooms · 2 beds · 1 bath,$636 CAD per night,empty
119,Entire guesthouse in Kailua-Kona,"Amazing Sunset / Ocean View, Beautiful New Home",7 guests · 2 bedrooms · 4 beds · 1 bath,$354 CAD per night,4.95 (109 reviews)
120,Entire home in Naalehu,Lewa Lani Private Pool,6 guests · 3 bedrooms · 3 beds · 2 baths,$485 CAD per night,5.0 (35 reviews)
121,Entire home in Haiku-Pauwela,Hookipa Farm: County Legal 3 Bedroom Home in Haiku,6 guests · 3 bedrooms · 4 beds · 2.5 baths,$972 CAD per night,5.0 (27 reviews)
122,Entire condo in Waimea,"Mauna Lani Golf Villa! Club Access, AC, Pool, Spa!",4 guests · 2 bedrooms · 3 beds · 2 baths,$755 CAD per night,4.95 (39 reviews)
123,Entire home in Kailua-Kona,Kona Views,4 guests · 2 bedrooms · 3 beds · 2 baths,$352 CAD per night,4.89 (56 reviews)
124,Entire cottage in Captain Cook,Honaunau Ocean View! Families Here!,6 guests · 3 bedrooms · 4 beds · 2 baths,"$286 CAD per night, originally $312",4.84 (60 reviews)
125,Entire condo in Kailua-Kona,"Spacious 2/2, doorstep to beaches and restaurants.",6 guests · 2 bedrooms · 4 beds · 2 baths,"$389 CAD per night, originally $426",5.0 (10 reviews)
126,Entire home in Kailua-Kona,"Hale Kolepa, Keauhou Estates",6 guests · 4 bedrooms · 5 beds · 2.5 baths,$999 CAD per night,4.69 (16 reviews)
127,Entire home in Kaneohe,Step Into Serenity,4 guests · 2 bedrooms · 3 beds · 1 bath,$526 CAD per night,4.89 (46 reviews)
128,Entire condo in Kapolei,Beach Villa Perfect for Family Getaway - Ko Olina,6 guests · 3 bedrooms · 4 beds · 2.5 baths,$817 CAD per night,5.0 (21 reviews)
129,Entire condo in Kailua-Kona,Lovely 2 bedroom condo with ocean view,6 guests · 2 bedrooms · 4 beds · 2 baths,$459 CAD per night,4.80 (5 reviews)
130,Entire home in Naalehu,"Pool, Hot Tub, Japenese Pagoda & Gardens, Ocean Views",6 guests · 3 bedrooms · 3 beds · 2 baths,$405 CAD per night,4.84 (31 reviews)
131,Entire home in Honolulu,NEW▶Mountain RV-NO.7▶Open Free parking!,6 guests · 1 bedroom · 2 beds · 1 bath,",&nbsp;",4.91 (23 reviews)
132,Entire home in Kailua-Kona,"Luxurious House Close to Beach, Hosted Rental",6 guests · 3 bedrooms · 3 beds · 2.5 baths,$701 CAD per night,5.0 (7 reviews)
133,Entire home in Kailua-Kona,The Mana Ohana - Ocean & Mtn. Views - sleeps 6-8,7 guests · 2 bedrooms · 4 beds · 2 baths,"$318 CAD per night, originally $347",empty
134,Entire home in Hanalei,Ha'ena Beach House TVNC-4215,6 guests · 2 bedrooms · 4 beds · 2.5 baths,$844 CAD per night,4.88 (82 reviews)
135,Entire condo in Kailua,Come to paradise and forget 2020! Ocean Front/AC,4 guests · 2 bedrooms · 2 beds · 2 baths,$744 CAD per night,4.89 (56 reviews)
136,Entire rental unit in Honolulu,Ocean view across Waikiki beach/washer dryer/pkng,6 guests · 2 bedrooms · 4 beds · 2 baths,$881 CAD per night,4.94 (106 reviews)
137,Entire condo in Honolulu,Waikiki Banyan 20th FL Wow! Views + 1 Free Parking,6 guests · 1 bedroom · 3 beds · 1 bath,$494 CAD per night,4.47 (162 reviews)
138,Entire townhouse in Maunaloa,"Best Oceanfront Location on West Molokai, not Maui",4 guests · 2 bedrooms · 2 beds · 1 bath,$390 CAD per night,4.91 (22 reviews)
139,Entire guesthouse in Haiku-Pauwela,HawaiianDreamTemple-2BRTropical Oasis BBPH20120004,6 guests · 2 bedrooms · 3 beds · 1 bath,$808 CAD per night,4.79 (104 reviews)
140,Entire condo in Kailua-Kona,Beautiful Top Floor Oceanfront Condo with AC! #415,4 guests · 2 bedrooms · 3 beds · 2 baths,$584 CAD per night,5.0 (21 reviews)
141,Entire condo in Kahuku,NEWLY RENOVATED (2021) Turtle Bay Haven!,6 guests · 1 bedroom · 4 beds · 2 baths,",&nbsp;",4.87 (54 reviews)
142,Entire serviced apartment in Lahaina,Aston Kanapali-HAWAII Beach,4 guests · 2 bedrooms · 2 beds · 1 bath,$636 CAD per night,empty
143,Entire condo in Kihei,"STEPS FROM THE BEACH! 2-Bedroom, Brand-New Remodel",6 guests · 2 bedrooms · 3 beds · 2 baths,"$572 CAD per night, originally $626",5.0 (17 reviews)
144,Entire condo in Kihei,Beautifully UPGRADED Ocean View Condo Walk 2 Beach,6 guests · 2 bedrooms · 3 beds · 2 baths,$592 CAD per night,5.0 (40 reviews)
145,Entire condo in Waikoloa Beach Resort,"Lush Tropical Oasis at Waikoloa Shores, Big Island",4 guests · 2 bedrooms · 3 beds · 2 baths,$456 CAD per night,4.94 (18 reviews)
146,Entire rental unit in Princeville,Adventures in Paradise!,5 guests · 2 bedrooms · 5 beds · 2 baths,$442 CAD per night,4.80 (47 reviews)
147,Entire condo in Waikoloa Village,"Kolea 8A at Waikoloa Beach, Hawaii",6 guests · 3 bedrooms · 4 beds · 3 baths,"$1,224 CAD per night",5.0 (20 reviews)
148,Entire townhouse in Lahaina,Charming 3 Bedroom Oceanfront in Puamana - Lahaina,6 guests · 3 bedrooms · 4 beds · 2.5 baths,"$1,233 CAD per night",4.70 (56 reviews)
149,Entire home in Pāhoa,Hale Melemele,7 guests · 2 bedrooms · 4 beds · 2 baths,"$226 CAD per night, originally $253",4.69 (183 reviews)
150,Entire rental unit in Honolulu,"City lights Waikiki ($7,500 monthly)",6 guests · 2 bedrooms · 4 beds · 2 baths,$649 CAD per night,4.76 (87 reviews)
151,Entire condo in Kihei,"NEWLY REMODELED!! 2 bedroom 2 bath condo, Maui, HI",6 guests · 2 bedrooms · 3 beds · 2 baths,$361 CAD per night,4.85 (79 reviews)
152,Entire home in Hawi,Custom Home on 10 acres with sweeping ocean views,8 guests · 3 bedrooms · 4 beds · 3 baths,$645 CAD per night,4.96 (55 reviews)
153,Entire condo in Kihei,Toast the Sunset in a Dreamy Island Penthouse Loft,6 guests · 2 bedrooms · 4 beds · 2 baths,",&nbsp;",5.0 (111 reviews)
154,Entire condo in Kihei,OCEAN VIEW 2 BR 2 BATH PENTHOUSE KAM 2/3 BEACH,4 guests · 2 bedrooms · 2 beds · 2 baths,$635 CAD per night,4.60 (5 reviews)
155,Entire condo in Kailua Kona,"Lovely Kona Plaza Beach Condo | Lanai, AC, Modern Kitchen | Pool, Grills",4 guests · 2 bedrooms · 2 beds · 2 baths,$409 CAD per night,4.75 (8 reviews)
156,Entire home in Ewa Beach,Ewa Sands,6 guests · 2 bedrooms · 3 beds · 1 bath,$495 CAD per night,4.74 (104 reviews)
157,Entire condo in Honolulu,=Free Parking!= Renovated 1Bedroom in East Waikiki,5 guests · 1 bedroom · 2 beds · 1 bath,$353 CAD per night,4.70 (124 reviews)
158,Entire home in Pāhoa,Kalapana Beach Haven,9 guests · 3 bedrooms · 5 beds · 4 baths,"$962 CAD per night, originally $1,034",5.0 (65 reviews)
