,Type_of_Accomordation,Location_of_Accomodation,Info_Of_Accomordation,No_of_guest,Rooms,Beds,Bath,Ratings,Review,Total/Night
51,Entire condo ,KailuaKona,New Listing! Wonderful direct 2 bedroom/ 2 bath oceanfront condo with sweeping views of Kailua Bay and lots of ocean activity. Beautifully updated unit with everything you need for a great Hawaiian getaway. ,4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,4 reviews ,$429 CAD per night
52,Entire villa ,Kapolei,Ko'Olina Resort-Private Vacation Villa,7 guests , 2 bedrooms , 3 beds , 2.5 baths,4.93 ,29 reviews ,$746 CAD per night
53,Entire condo ,Pr,"Premier, Upstairs View 3BR/3BA Plantation Condo",6 guests , 3 bedrooms , 3 beds , 3 baths,4.97 ,33 reviews ,$627 CAD per night
55,Entire home ,Naalehu,Lewa Lani Private Pool,6 guests , 3 bedrooms , 3 beds , 2 baths,5.0 ,35 reviews ,$485 CAD per night
56,Entire home ,Honokaa,"Waiulililani at Waipio Valley, TA # 124-836-6592-01",6 guests , 3 bedrooms , 3 beds , 3 baths,4.83 ,92 reviews ,$439 CAD per night
59,Entire townhouse ,Waikoloa,Hali’i Kai #17G - The Premier Waikoloa Stay,6 guests , 3 bedrooms , 3 beds , 3 baths,4.90 ,31 reviews ,$763 CAD per night
60,Entire condo ,Kahuku,Hale He'e' Nalu (Surf House) in Turtle Bay!,6 guests , 2 bedrooms , 3 beds , 2 baths,4.73 ,203 reviews ,$726 CAD per night
63,Entire home ,Pr,"AC, Hot Tub & Plunge Pool! Steps to Queen's Bath!",16 guests , 4 bedrooms , 9 beds , 2.5 baths,4.75 ,97 reviews ,$959 CAD per night
64,Entire guest suite ,Haleiwa,Rocky Point Studio,4 guests , Studio , 4 beds , 1 bath,4.88 ,357 reviews ,$575 CAD per night
65,Entire rental unit ,Honolulu,Waikiki Penthouse Panorama Ocean/Moutain Views,8 guests , 2 bedrooms , 6 beds , 2 baths,4.62 ,154 reviews ,$948 CAD per night
66,Entire rental unit ,Kihei,Best condo in Kihei - great value!,4 guests , 1 bedroom , 2 beds , 1 bath,4.73 ,283 reviews ,$334 CAD per night
70,Entire home ,KailuaKona,Watch Rain Fall Inside Your Home Into The Indoor Water Feature. Amazing Entry Across An Indoor Pond. Expansive Unfettered Ocean Views,8 guests , 4 bedrooms , 5 beds , 3.5 baths,4.73 ,88 reviews ,$3
73,Entire condo ,Kihei,Across from the Beach in S. Kihei!,6 guests , 2 bedrooms , 3 beds , 2 baths,4.70 ,219 reviews ,$673 CAD per night
74,Entire condo ,Kihei,Entire Seaside 2 bedroom 2 bath 10 steps to beach,6 guests , 2 bedrooms , 3 beds , 2 baths,4.61 ,192 reviews ,$592 CAD per night
77,Entire cottage ,Waialua,Cozy guest cottage at North Shore,4 guests , 1 bedroom , 2 beds , 1 bath,4.61 ,184 reviews ,$356 CAD per night
79,Entire home ,Holualoa,"Holualoa Elua (clean, comfortable, Taxes included)",4 guests , 1 bedroom , 3 beds , 1 bath,4.92 ,341 reviews ,$289 CAD per night
80,Entire townhouse ,Waikoloa,Hali’i Kai #17G - The Premier Waikoloa Stay,6 guests , 3 bedrooms , 3 beds , 3 baths,4.90 ,31 reviews ,$763 CAD per night
81,Entire condo ,Kihei,Island Surf 311  Oceanview!! Steps from the Ocean. Air Purifier! Sanitized Cleaning! Watch the morning Surfers!,6 guests , 2 bedrooms , 3 beds , 2 baths,4.76 ,37 reviews ,$526 CAD per night
83,Entire cottage ,KailuaKona,Foster's Ohia Hale,5 guests , 2 bedrooms , 4 beds , 1 bath,4.95 ,97 reviews ,$324 CAD per night
85,Entire condo ,Kihei,Oceanfront Luxury at a Discount!,6 guests , 2 bedrooms , 4 beds , 2 baths,4.76 ,30 reviews ,$526 CAD per night
87,Entire condo ,KailuaKona,Oceanview on Golf Course 3 Pools Air,6 guests , 3 bedrooms , 5 beds , 3 baths,4.86 ,14 reviews ,$429 CAD per night
88,Entire guest suite ,KailuaKona,Unique Relaxation Experience Kona2BR Leisure Suite,4 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,54 reviews ,$328 CAD per night
89,Entire condo ,Pr,🏝Beautiful TROPICAL Getaway - POOL - BBQ & More,6 guests , 3 bedrooms , 4 beds , 2 baths,4.80 ,69 reviews ,$663 CAD per night
90,Entire condo ,Pr,"Premier, Upstairs View 3BR/3BA Plantation Condo",6 guests , 3 bedrooms , 3 beds , 3 baths,4.97 ,33 reviews ,$627 CAD per night
92,Entire home ,Volcano,A/C All Rms/WorkStation&Dishwasher AlohaHaleNohea2,6 guests , 3 bedrooms , 3 beds , 2 baths,4.97 ,172 reviews ,$429 CAD per night
93,Entire condo ,Honolulu,2 Bedroom Condo With Parking,4 guests , 2 bedrooms , 2 beds , 1 bath,4.80 ,202 reviews ,$397 CAD per night
96,Entire villa ,KailuaKona,"Ahhh....Paradise  OCEAN VIEWS, Snorkle, Surf,Bikes",5 guests , 2 bedrooms , 3 beds , 2 baths,4.90 ,21 reviews ,$523 CAD per night
99,Entire condo ,KailuaKona,"KONA MAKAI OCEANFRONT SNORKEL,TENNIS, GYM, POOL",5 guests , 2 bedrooms , 3 beds , 1 bath,4.50 ,129 reviews ,$368 CAD per night
101,Entire condo ,Pr,🏝Beautiful TROPICAL Getaway - POOL - BBQ & More,6 guests , 3 bedrooms , 4 beds , 2 baths,4.80 ,69 reviews ,$663 CAD per night
102,Entire home ,KailuaKona,Magic Sands Beach House,5 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,68 reviews ,$596 CAD per night
105,Entire rental unit ,Honolulu,0.5 block to Waikiki beach/washer/dryer/parking,6 guests , 2 bedrooms , 3 beds , 2 baths,4.91 ,141 reviews ,$865 CAD per night
106,Entire rental unit ,KailuaKona,Kona Oasis across from Ocean!!,4 guests , 2 bedrooms , 2 beds , 2 baths,4.81 ,151 reviews ,$386 CAD per night
107,Entire condo ,Waimea,"HEAVENLY! Mauna Lani GolfVillas, Bch Club+Golf pkg",7 guests , 3 bedrooms , 3 beds , 3 baths,4.93 ,15 reviews ,$982 CAD per night
108,Entire villa ,KailuaKona,"Ahhh....Paradise  OCEAN VIEWS, Snorkle, Surf,Bikes",5 guests , 2 bedrooms , 3 beds , 2 baths,4.90 ,21 reviews ,$523 CAD per night
109,Entire condo ,KailuaKona,2 bed/2 bath Kona White Sands,6 guests , 2 bedrooms , 4 beds , 2 baths,4.93 ,74 reviews ,$383 CAD per night
111,Entire guest suite ,KailuaKona,Welcome to your Hawaiian Getaway,4 guests , 2 bedrooms , 2 beds , 1 bath,4.93 ,14 reviews ,$385 CAD per night
115,Entire guest suite ,Waimanalo,"All Inclusive that has it all, Sleeps 8, Hot Tub",8 guests , 2 bedrooms , 3 beds , 1 bath,4.89 ,28 reviews ,$455 CAD per night
116,Entire home ,Pāhoa,New Custom Home Ocean View Walk to Kehena Beach,6 guests , 2 bedrooms , 2 beds , 1.5 baths,4.91 ,35 reviews ,$339 CAD per night
117,Entire condo ,Keauhou,Luxurious 3 BR / 2 BA Direct Oceanfront condo,6 guests , 3 bedrooms , 4 beds , 2 baths,5.0 ,4 reviews ,$542 CAD per night
118,Entire serviced apartment ,Laha,Aston Kanapali-HAWAII Beach,4 guests , 2 bedrooms , 2 beds , 1 bath,empty,,$636 CAD per night
119,Entire guesthouse ,KailuaKona,"Amazing Sunset / Ocean View, Beautiful New Home",7 guests , 2 bedrooms , 4 beds , 1 bath,4.95 ,109 reviews ,$354 CAD per night
120,Entire home ,Naalehu,Lewa Lani Private Pool,6 guests , 3 bedrooms , 3 beds , 2 baths,5.0 ,35 reviews ,$485 CAD per night
121,Entire home ,HaikuPauwela,Hookipa Farm: County Legal 3 Bedroom Home in Haiku,6 guests , 3 bedrooms , 4 beds , 2.5 baths,5.0 ,27 reviews ,$972 CAD per night
122,Entire condo ,Waimea,"Mauna Lani Golf Villa! Club Access, AC, Pool, Spa!",4 guests , 2 bedrooms , 3 beds , 2 baths,4.95 ,39 reviews ,$755 CAD per night
123,Entire home ,KailuaKona,Kona Views,4 guests , 2 bedrooms , 3 beds , 2 baths,4.89 ,56 reviews ,$352 CAD per night
124,Entire cottage ,Capta,Honaunau Ocean View! Families Here!,6 guests , 3 bedrooms , 4 beds , 2 baths,4.84 ,60 reviews ,$286 CAD per night
125,Entire condo ,KailuaKona,"Spacious 2/2, doorstep to beaches and restaurants.",6 guests , 2 bedrooms , 4 beds , 2 baths,5.0 ,10 reviews ,$389 CAD per night
126,Entire home ,KailuaKona,"Hale Kolepa, Keauhou Estates",6 guests , 4 bedrooms , 5 beds , 2.5 baths,4.69 ,16 reviews ,$999 CAD per night
127,Entire home ,Kaneohe,Step Into Serenity,4 guests , 2 bedrooms , 3 beds , 1 bath,4.89 ,46 reviews ,$526 CAD per night
129,Entire condo ,KailuaKona,Lovely 2 bedroom condo with ocean view,6 guests , 2 bedrooms , 4 beds , 2 baths,4.80 ,5 reviews ,$459 CAD per night
134,Entire home ,Hanalei,Ha'ena Beach House TVNC-4215,6 guests , 2 bedrooms , 4 beds , 2.5 baths,4.88 ,82 reviews ,$844 CAD per night
135,Entire condo ,Kailua,Come to paradise and forget 2020! Ocean Front/AC,4 guests , 2 bedrooms , 2 beds , 2 baths,4.89 ,56 reviews ,$744 CAD per night
137,Entire condo ,Honolulu,Waikiki Banyan 20th FL Wow! Views + 1 Free Parking,6 guests , 1 bedroom , 3 beds , 1 bath,4.47 ,162 reviews ,$494 CAD per night
140,Entire condo ,KailuaKona,Beautiful Top Floor Oceanfront Condo with AC! #415,4 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,21 reviews ,$584 CAD per night
142,Entire serviced apartment ,Laha,Aston Kanapali-HAWAII Beach,4 guests , 2 bedrooms , 2 beds , 1 bath,empty,,$636 CAD per night
143,Entire condo ,Kihei,"STEPS FROM THE BEACH! 2-Bedroom, Brand-New Remodel",6 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,17 reviews ,$572 CAD per night
144,Entire condo ,Kihei,Beautifully UPGRADED Ocean View Condo Walk 2 Beach,6 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,40 reviews ,$592 CAD per night
145,Entire condo ,WaikoloaBeachResort,"Lush Tropical Oasis at Waikoloa Shores, Big Island",4 guests , 2 bedrooms , 3 beds , 2 baths,4.94 ,18 reviews ,$456 CAD per night
146,Entire rental unit ,Pr,Adventures in Paradise!,5 guests , 2 bedrooms , 5 beds , 2 baths,4.80 ,47 reviews ,$442 CAD per night
149,Entire home ,Pāhoa,Hale Melemele,7 guests , 2 bedrooms , 4 beds , 2 baths,4.69 ,183 reviews ,$226 CAD per night
150,Entire rental unit ,Honolulu,"City lights Waikiki ($7,500 monthly)",6 guests , 2 bedrooms , 4 beds , 2 baths,4.76 ,87 reviews ,$649 CAD per night
152,Entire home ,Hawi,Custom Home on 10 acres with sweeping ocean views,8 guests , 3 bedrooms , 4 beds , 3 baths,4.96 ,55 reviews ,$645 CAD per night
154,Entire condo ,Kihei,OCEAN VIEW 2 BR 2 BATH PENTHOUSE KAM 2/3 BEACH,4 guests , 2 bedrooms , 2 beds , 2 baths,4.60 ,5 reviews ,$635 CAD per night
156,Entire home ,EwaBeach,Ewa Sands,6 guests , 2 bedrooms , 3 beds , 1 bath,4.74 ,104 reviews ,$495 CAD per night
157,Entire condo ,Honolulu,=Free Parking!= Renovated 1Bedroom in East Waikiki,5 guests , 1 bedroom , 2 beds , 1 bath,4.70 ,124 reviews ,$353 CAD per night
158,Entire home ,Pāhoa,Kalapana Beach Haven,9 guests , 3 bedrooms , 5 beds , 4 baths,5.0 ,65 reviews ,$962 CAD per night
159,Entire condo ,KailuaKona,Stunning Ocean Sunset Views from Private Lanai,4 guests , 1 bedroom , 2 beds , 2 baths,5.0 ,41 reviews ,$369 CAD per night
160,Entire home ,KailuaKona,Kona Ali'i Village Home,5 guests , 3 bedrooms , 3 beds , 2 baths,4.85 ,27 reviews ,$669 CAD per night
161,Entire condo ,Wailuku,Spectacular luxury modern oceanfront best condo,4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,11 reviews ,$692 CAD per night
164,Entire home ,Kamuela,Hale Kohola,6 guests , 3 bedrooms , 4 beds , 1 bath,4.94 ,153 reviews ,$436 CAD per night
165,Entire condo ,Laha,"Great condo, great deals",6 guests , 2 bedrooms , 4 beds , 1 bath,4.20 ,5 reviews ,$557 CAD per night
166,Entire condo ,Kihei,Beautifully UPGRADED Ocean View Condo Walk 2 Beach,6 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,40 reviews ,$592 CAD per night
168,Entire home ,Volcano,A/C All Rms/WorkStation&Dishwasher AlohaHaleNohea2,6 guests , 3 bedrooms , 3 beds , 2 baths,4.97 ,172 reviews ,$429 CAD per night
170,Entire rental unit ,Honolulu,Waikiki :New decoration2b/1b;at kalakaua  ave,6 guests , 2 bedrooms , 3 beds , 1 bath,4.38 ,32 reviews ,$289 CAD per night
171,Entire guest suite ,KailuaKona,Unique Relaxation Experience Kona2BR Leisure Suite,4 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,54 reviews ,$328 CAD per night
174,Entire condo ,Kihei,Tropical Relaxing Comfortable,4 guests , 2 bedrooms , 2 beds , 2 baths,4.89 ,27 reviews ,$357 CAD per night
177,Entire home ,Honolulu,"Beaches, hikes, R&R, and comfort await you.",5 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,6 reviews ,$592 CAD per night
179,Entire condo ,KailuaKona,Stunning Ocean Sunset Views from Private Lanai,4 guests , 1 bedroom , 2 beds , 2 baths,5.0 ,41 reviews ,$369 CAD per night
181,Entire condo ,KailuaKona,"KONA MAKAI OCEANFRONT SNORKEL,TENNIS, GYM, POOL",5 guests , 2 bedrooms , 3 beds , 1 bath,4.50 ,129 reviews ,$368 CAD per night
182,Entire home ,Kamuela,Hale Kohola,6 guests , 3 bedrooms , 4 beds , 1 bath,4.94 ,153 reviews ,$436 CAD per night
183,Entire home ,Honolulu,"Beaches, hikes, R&R, and comfort await you.",5 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,6 reviews ,$592 CAD per night
185,Entire condo ,Laha,"Great condo, great deals",6 guests , 2 bedrooms , 4 beds , 1 bath,4.20 ,5 reviews ,$557 CAD per night
188,Entire home ,Volcano,A/C All Rms/WorkStation&Dishwasher AlohaHaleNohea2,6 guests , 3 bedrooms , 3 beds , 2 baths,4.97 ,172 reviews ,$429 CAD per night
190,Entire condo ,Hauula,Epic Views! 2 Story Beachfront @ Pat's at Punaluu!,6 guests , 3 bedrooms , 4 beds , 2 baths,4.80 ,49 reviews ,$836 CAD per night
193,Entire rental unit ,Honolulu,Waikiki :New decoration2b/1b;at kalakaua  ave,6 guests , 2 bedrooms , 3 beds , 1 bath,4.38 ,32 reviews ,$289 CAD per night
194,Entire guest suite ,KailuaKona,Unique Relaxation Experience Kona2BR Leisure Suite,4 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,54 reviews ,$328 CAD per night
197,Entire home ,Honokaa,Luana Ola Villa Fantastic Ocean View,6 guests , 1 bedroom , 1 bed , 1.5 baths,4.75 ,136 reviews ,$256 CAD per night
198,Entire townhouse ,KailuaKona,Tropical Living in Oceanfront Resort 31,5 guests , 2 bedrooms , 3 beds , 2 baths,4.79 ,101 reviews ,$449 CAD per night
200,Entire condo ,Honolulu,2Bd/2Ba High Floor Condo with Canal & City View,5 guests , 2 bedrooms , 3 beds , 2 baths,4.78 ,9 reviews ,$397 CAD per night
203,Entire home ,Maunaloa,Beach Condo on Molokai,4 guests , 1 bedroom , 2 beds , 1 bath,4.91 ,76 reviews ,$264 CAD per night
204,Entire condo ,Maunaloa,Updated Ke Nani Kai 2/2 Upstairs Unit w/Ocean View,4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,7 reviews ,$228 CAD per night
205,Entire townhouse ,KailuaKona,Tropical Living in Oceanfront Resort 31,5 guests , 2 bedrooms , 3 beds , 2 baths,4.79 ,101 reviews ,$449 CAD per night
207,Entire home ,KailuaKona,Air Conditioned Magic Sands Home Steps From Beach,7 guests , 3 bedrooms , 4 beds , 2 baths,5.0 ,11 reviews ,$675 CAD per night
214,Entire rental unit ,Honolulu,Aloha Spirit 2B/1B with free parking,6 guests , 2 bedrooms , 4 beds , 1 bath,4.25 ,4 reviews ,$342 CAD per night
215,Entire home ,Kailua,"For a New Beautiful Kailua Home, Near the Beach",5 guests , 2 bedrooms , 2 beds , 1 bath,4.80 ,25 reviews ,$396 CAD per night
216,Entire home ,KailuaKona,Custom ocean view 4/2 cottage in Kailua Kona,5 guests , 4 bedrooms , 4 beds , 2 baths,empty,,$658 CAD per night
219,Entire townhouse ,Kihei,Newly remodeled 2B/2B  at Ma'alaea Surf Resort,4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,6 reviews ,$575 CAD per night
220,Entire home ,Keaau,Panoramic Ocean Views in Hawaiian Paradise Retreat,4 guests , 2 bedrooms , 2 beds , 1 bath,4.98 ,82 reviews ,$684 CAD per night
223,Entire condo ,Honolulu,2 Bedroom Condo With Parking,4 guests , 2 bedrooms , 2 beds , 1 bath,4.80 ,202 reviews ,$397 CAD per night
226,Entire condo ,Kihei,Absolutely the Best!! Full AC & Near Pool! PAW 304,6 guests , 2 bedrooms , 4 beds , 2 baths,4.83 ,24 reviews ,$572 CAD per night
227,Entire condo ,KailuaKona,2bd Oceanfront Condo:  Top Floor-A/C-Elevator-Pool,5 guests , 2 bedrooms , 2 beds , 2 baths,4.91 ,23 reviews ,$433 CAD per night
228,Entire condo ,Honolulu,"I NEED A VACATION!!!  Waikiki Banyan, FREE PARKING",6 guests , 1 bedroom , 3 beds , 1 bath,4.89 ,18 reviews ,$363 CAD per night
231,Entire home ,Keaau,HOUSE OF DOLPHINS (Hale Hale'ai),5 guests , 2 bedrooms , 2 beds , 2.5 baths,4.74 ,23 reviews ,$836 CAD per night
234,Entire guesthouse ,KailuaKona,New Modern Condo. Large Lanai. Amazing Ocean View!,5 guests , 2 bedrooms , 5 beds , 2 baths,5.0 ,25 reviews ,$539 CAD per night
237,Entire home ,Kailua,"Beautiful Kailua Home, Near the Beach",5 guests , 2 bedrooms , 2 beds , 1 bath,4.82 ,67 reviews ,$396 CAD per night
238,Entire home ,Maunaloa,Beach Condo on Molokai,4 guests , 1 bedroom , 2 beds , 1 bath,4.91 ,76 reviews ,$264 CAD per night
239,Entire home ,KailuaKona,Custom ocean view 4/2 cottage in Kailua Kona,5 guests , 4 bedrooms , 4 beds , 2 baths,empty,,$658 CAD per night
240,Entire cottage ,Paia,LunaHouse In The Heart of Paia,4 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,74 reviews ,$466 CAD per night
241,Entire condo ,Laha,"NEW! Tasteful Lahaina Condo, Beautiful Resort Pool",6 guests , 2 bedrooms , 3 beds , 2 baths,empty,,$679 CAD per night
242,Entire home ,Paia,"Romantic Maui Beach Home, 3 min walk to Baby Beach",5 guests , 3 bedrooms , 3 beds , 3 baths,4.96 ,46 reviews ,$2
244,Entire condo ,KailuaKona,"Oceanfront 2 bed, 2 bath, full kitchen  with AC!",4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,8 reviews ,$495 CAD per night
248,Entire rental unit ,Honolulu,2Bedroom Diamond Head Waikiki Lookout-Ocean View🏖,4 guests , 2 bedrooms , 3 beds , 1 bath,empty,,$785 CAD per night
251,Entire condo ,KailuaKona,Kona Makai 3-301 fabulous top floor unit close to the ocean and pool,6 guests , 3 bedrooms , 3 beds , 2 baths,4.82 ,11 reviews ,$524 CAD per night
253,Entire home ,Pahoa,Hawaii Life Rentals presents The Jewel Box - Oceanfront Luxury in Kehena - THE JEWEL BOX,4 guests , 2 bedrooms , 2 beds , 2 baths,4.88 ,8 reviews ,$595 CAD per night
254,Entire condo ,Laha,Beautifully Remodeled 2/2 Great Family Getaway!,6 guests , 2 bedrooms , 4 beds , 2 baths,4.75 ,4 reviews ,$434 CAD per night
255,Entire condo ,Honolulu,Spectacular Views - Spacious 2BR Waikiki Penthouse,6 guests , 2 bedrooms , 4 beds , 2 baths,empty,,$984 CAD per night
256,Entire loft ,Honolulu,Unique opportunity to rent a New York style loft!,6 guests , 2 bedrooms , 2 beds , 1.5 baths,4.72 ,18 reviews ,$834 CAD per night
257,Entire condo ,Kihei,Wow! Completely & Beautifully Remodeled! Ekolu1507,4 guests , 2 bedrooms , 2 beds , 2 baths,4.95 ,60 reviews ,$577 CAD per night
258,Entire townhouse ,Pr,"NEW!  FAMILY RESORT STYLE LIVING...POOL, A/C, GOLF",6 guests , 3 bedrooms , 3 beds , 2.5 baths,4.94 ,69 reviews ,$783 CAD per night
259,Entire condo ,Kihei,Luxury 2BR/2BA condo steps from the best beach!,4 guests , 2 bedrooms , 3 beds , 2 baths,4.80 ,66 reviews ,$367 CAD per night
260,Entire home ,Honolulu,Newly Furnished Spacious 2b1b Island Getaway,5 guests , 2 bedrooms , 2 beds , 1 bath,4.67 ,21 reviews ,$398 CAD per night
262,Entire condo ,KailuaKona,"Keauhou Punahele E-102 Ground Floor, Spacious Lanai, Personal BBQ, VERY Quiet",4 guests , 2 bedrooms , 3 beds , 2 baths,empty,,$457 CAD per night
263,Entire condo ,Kihei,FULLY REMODELED COASTAL DESIGN*DIRECTLY ON BEACH!,6 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,27 reviews ,$862 CAD per night
266,Entire condo ,Laha,"Temp price drop! 180 deg views, 2b/2ba, on ocean",6 guests , 2 bedrooms , 3 beds , 2 baths,4.88 ,52 reviews ,$788 CAD per night
271,Entire condo ,Laha,BREATHTAKING OCEANFRONT VIEWS!,6 guests , 2 bedrooms , 4 beds , 1 bath,4.91 ,76 reviews ,$577 CAD per night
272,Entire condo ,Honolulu,"Waikiki Island Colony 1 Bdrm, 1702",4 guests , 1 bedroom , 3 beds , 1 bath,4.45 ,11 reviews ,$288 CAD per night
273,Entire condo ,KailuaKona,Gorgeous MaunaLoaVillage Retreat-2 Masters + A/C!,5 guests , 2 bedrooms , 4 beds , 2.5 baths,4.96 ,25 reviews ,$536 CAD per night
274,Entire condo ,Honolulu,"Waikiki 2 Bedroom w/ Covered Parking, Family Condo",6 guests , 2 bedrooms , 4 beds , 1 bath,4.74 ,43 reviews ,$566 CAD per night
275,Entire condo ,Honolulu,Lovely 2 bedroom condo with awesome view,6 guests , 2 bedrooms , 4 beds , 1 bath,5.0 ,3 reviews ,$355 CAD per night
276,Entire home ,Holualoa,Modern Private Home in Holualoa,5 guests , 2 bedrooms , 3 beds , 1 bath,empty,,$423 CAD per night
280,Entire home ,Holualoa,Modern Private Home in Holualoa,5 guests , 2 bedrooms , 3 beds , 1 bath,empty,,$423 CAD per night
